,Index,Content ID,Reaction Type,Datetime,Sentiment,Score,Content Type,Category
0,1,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2020-11-07 9:43:50,negative,0,photo,Studying
1,2,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2021-06-17 12:22:51,negative,10,photo,Studying
2,3,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-18 5:13:58,negative,15,photo,Studying
3,4,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-01-06 19:13:01,negative,0,photo,Studying
4,5,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-08-23 12:25:58,positive,30,photo,Studying
5,6,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-12-07 6:27:54,neutral,35,photo,Studying
6,7,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2021-04-11 17:35:49,positive,70,photo,Studying
7,8,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-01-27 8:32:09,negative,5,photo,Studying
8,9,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2021-04-01 22:54:23,neutral,35,photo,Studying
9,11,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-11-07 8:36:27,neutral,20,photo,Studying
10,12,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-11-02 6:28:53,negative,15,photo,Studying
11,13,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-11-01 1:16:21,positive,30,photo,Studying
12,14,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-10-07 18:39:08,negative,5,photo,Studying
13,15,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-03 18:51:38,negative,15,photo,Studying
14,16,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-24 5:09:23,positive,75,photo,Studying
15,17,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-09-23 6:24:11,neutral,35,photo,Studying
16,18,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-02-24 11:37:57,neutral,20,photo,Studying
17,19,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-05-22 19:44:23,positive,30,photo,Studying
18,21,97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,2020-11-20 17:26:23,neutral,35,photo,Studying
19,22,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-04-11 20:47:13,negative,12,photo,Studying
20,23,97522e57-d9ab-4bd6-97bf-c24d952602d2,like,2021-06-13 16:46:06,positive,50,photo,Studying
21,24,97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,2021-04-11 14:29:59,positive,60,photo,Studying
22,25,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-03-02 19:21:19,negative,12,photo,Studying
23,26,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2020-06-27 18:44:39,negative,5,photo,Studying
24,27,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-05-09 21:05:17,negative,5,photo,Studying
25,28,97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,2020-08-04 23:58:42,positive,70,photo,Studying
26,29,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2020-08-28 3:57:20,positive,75,photo,Studying
27,31,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2021-04-20 23:48:12,negative,15,photo,Studying
28,32,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-03-07 12:40:11,positive,30,photo,Studying
29,33,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2021-05-24 3:21:13,neutral,20,photo,Studying
30,34,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-01-24 11:03:43,positive,75,photo,Studying
31,35,97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,2021-04-09 2:46:20,negative,0,photo,Studying
32,36,97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,2021-02-02 3:43:43,positive,75,photo,Studying
33,37,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2021-02-04 3:06:12,positive,30,photo,Studying
34,38,97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,2020-11-09 2:49:59,negative,10,photo,Studying
35,39,97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,2020-09-29 16:00:27,negative,15,photo,Studying
36,41,97522e57-d9ab-4bd6-97bf-c24d952602d2,want,2021-02-13 7:54:01,positive,70,photo,Studying
37,42,97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,2020-07-14 5:28:44,positive,30,photo,Studying
38,43,97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,2020-08-23 10:30:37,neutral,20,photo,Studying
39,44,97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,2021-05-10 9:27:42,negative,12,photo,Studying
40,45,97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,2021-03-15 3:59:11,negative,5,photo,Studying
41,47,9f737e0a-3cdd-4d29-9d24-753f4e3be810,dislike,2020-06-25 17:01:58,negative,10,photo,healthy eating
42,48,9f737e0a-3cdd-4d29-9d24-753f4e3be810,intrigued,2020-09-13 0:11:50,positive,45,photo,healthy eating
43,49,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 18:17:06,neutral,35,photo,healthy eating
44,50,9f737e0a-3cdd-4d29-9d24-753f4e3be810,scared,2021-02-11 4:53:56,negative,15,photo,healthy eating
45,51,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-03-08 10:40:53,negative,5,photo,healthy eating
46,52,9f737e0a-3cdd-4d29-9d24-753f4e3be810,disgust,2021-03-28 21:15:26,negative,0,photo,healthy eating
47,53,9f737e0a-3cdd-4d29-9d24-753f4e3be810,hate,2021-05-25 1:00:28,negative,5,photo,healthy eating
48,54,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-15 12:17:43,positive,50,photo,healthy eating
49,55,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2021-05-05 16:26:43,positive,65,photo,healthy eating
50,57,9f737e0a-3cdd-4d29-9d24-753f4e3be810,heart,2021-06-16 3:02:28,positive,60,photo,healthy eating
51,58,9f737e0a-3cdd-4d29-9d24-753f4e3be810,indifferent,2020-07-07 10:52:30,neutral,20,photo,healthy eating
52,59,9f737e0a-3cdd-4d29-9d24-753f4e3be810,peeking,2020-08-20 7:59:11,neutral,35,photo,healthy eating
53,60,9f737e0a-3cdd-4d29-9d24-753f4e3be810,love,2020-09-23 11:15:19,positive,65,photo,healthy eating
54,61,9f737e0a-3cdd-4d29-9d24-753f4e3be810,like,2021-03-24 5:56:19,positive,50,photo,healthy eating
